Date,Time,"Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","GPU Utilization [%]","GPU Memory Usage [MB]","Virtual Memory Committed [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 Utility [%]","Core 1 Utility [%]","Core 2 Utility [%]","Core 3 Utility [%]","Total CPU Utility [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Package C6 Residency [%]","Core 0 C0 Residency [%]","Core 1 C0 Residency [%]","Core 2 C0 Residency [%]","Core 3 C0 Residency [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Core 0 C6 Residency [%]","Core 1 C6 Residency [%]","Core 2 C6 Residency [%]","Core 3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","CPU SOC [°C]","APU GFX [°C]","Core0 [°C]","Core1 [°C]","Core2 [°C]","Core3 [°C]","L3 Cache [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","CPU Core Current (SVI2 TFN) [A]","SoC Current (SVI2 TFN) [A]","CPU TDC [A]","CPU Package Power [W]","Core 0 Power [W]","Core 1 Power [W]","Core 2 Power [W]","Core 3 Power [W]","CPU Core Power (SVI2 TFN) [W]","CPU SoC Power (SVI2 TFN) [W]","Core+SoC Power (SVI2 TFN) [W]","Infinity Fabric Clock (FCLK) [MHz]","Memory Controller Clock (UCLK) [MHz]","CPU TDC Limit [%]","Thermal Throttling (HTC) [Yes/No]","Thermal Throttling (PROCHOT CPU) [Yes/No]","Thermal Throttling (PROCHOT EXT) [Yes/No]","Motherboard [°C]","CPU [°C]","VRM [°C]","AUXTIN2 [°C]","CPU (PECI) [°C]","Vcore [V]","VIN1 [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","VDDCR_SOC [V]","DRAM [V]","3VSB [V]","VBAT [V]","VIN5 [V]","VIN6 [V]","+5V [V]","VIN3 [V]","VIN7 [V]","CPU1 [RPM]","Chassis1 [RPM]","Chassis2 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total NAND Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Memory Temperature [°C]","GPU VR VDDC Temperature [°C]","GPU VR MVDD Temperature [°C]","GPU Liquid Temperature [°C]","GPU PLX Temperature [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan (ODN) [RPM]","GPU Core Current (VDDCR_GFX) [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Video Encode 1 Usage [%]","GPU Video Encode 2 Usage [%]","GPU Video Encode 3 Usage [%]","GPU Video Encode 4 Usage [%]","GPU Computing (High Priority Compute) Usage [%]","GPU Computing (Compute 3) Usage [%]","GPU Computing (Compute 0) Usage [%]","GPU Computing (Compute 1) Usage [%]","GPU Fan PWM [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Errors []","Framerate Presented (avg) [FPS]","Framerate Presented (99%) [FPS]","Framerate Presented (1%) [FPS]","Framerate Presented (0.1%) [FPS]","Framerate Presented (1% low) [FPS]","Framerate Presented (0.1% low) [FPS]","Framerate Displayed (avg) [FPS]","Framerate Displayed (99%) [FPS]","Framerate Displayed (1%) [FPS]","Framerate Displayed (0.1%) [FPS]","Framerate Displayed (1% low) [FPS]","Framerate Displayed (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","APU STAPM [W]","CPU PPT FAST Limit [%]","CPU PPT SLOW Limit [%]","APU STAPM Limit [%]",
7.6.2026,22:58:19.298,10842,5471,66.4,54.7,50.0,49.2,57.8,57.8,52.9,0.0,2701,19951,13770,59.1,1.0,1.350,1.387,1.363,1.369,3668.4,2934.7,2934.7,2934.7,99.8,2392.6,1664.9,1633.2,1944.4,1908.8,59.2,47.4,46.5,55.5,52.2,36.8,29.4,29.4,29.4,0.0,70.3,65.9,62.9,68.3,29.7,34.1,37.1,31.7,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,51.9,49.3,43.1,50.1,49.3,48.1,48.4,47.3,1.351,1.086,1.363,13.527,8.838,13.285,13.529,4.211,1.529,1.541,1.784,18.252,9.599,27.851,1192.9,1192.9,20.4,No,No,No,30.0,51.9,29.0,22.0,40.0,1.376,1.272,3.376,3.376,12.197,1.096,1.208,3.440,3.264,0.936,1.080,5.088,0.296,1.848,1558,910,1136,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,0.0,0.1,0.1,0.000,0.043,65840,68943,0.0,0.0,0.0,0.065,0.000,62229,1013,35,35.0,35.0,35.0,35.0,35.0,0.900,2096,2.297,2.067,23.477,417.4,1750.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2346,425,8.0,0,60.0,61.5,58.5,58.4,58.4,58.4,59.9,60.0,59.8,59.8,59.8,59.8,16.67,17.18,16.14,16.10,17.20,17.20,2.20,13.96,16.17,0.50,0.19,1015,16,0.1,0.0,0,32.446,40.6,40.7,49.9,
7.6.2026,22:58:21.298,10853,5460,66.5,79.1,73.6,79.1,78.3,79.1,77.5,14.0,2680,19934,13787,59.1,1.0,1.350,1.350,1.369,1.369,3668.4,2914.7,2914.7,3643.4,99.8,2941.5,2336.0,2264.5,2493.1,2508.8,77.3,66.7,64.7,71.1,69.9,36.8,29.2,29.2,36.5,0.0,87.3,86.8,85.4,87.2,12.7,13.2,14.6,12.8,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,52.2,50.6,43.3,52.0,51.6,50.0,50.5,48.9,1.349,1.087,1.375,15.991,8.977,14.831,14.929,5.348,2.054,2.036,2.201,21.552,9.760,31.312,1196.8,1196.8,22.8,No,No,No,30.0,52.1,29.0,22.0,40.0,1.360,1.272,3.376,3.376,12.197,1.096,1.208,3.440,3.264,0.936,1.080,5.088,0.296,1.848,1549,901,1142,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,0.4,0.6,1.1,0.109,0.170,65840,68943,0.0,0.0,0.0,0.000,0.000,62229,1013,34,34.0,34.0,34.0,34.0,34.0,0.900,2093,2.297,2.067,23.102,419.0,1750.0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2326,425,2.5,0,59.7,87.1,40.1,34.2,33.6,33.6,59.9,60.2,59.7,59.7,59.7,59.7,16.74,24.33,11.45,10.98,27.98,27.98,2.26,13.60,16.18,0.56,1.34,1015,16,0.3,0.1,0,32.448,45.3,41.5,49.9,
7.6.2026,22:58:23.293,10871,5442,66.6,91.4,92.2,91.4,83.6,92.2,89.6,10.0,2680,19950,13771,59.1,1.0,1.369,1.350,1.356,1.337,3643.4,3643.4,2914.7,2914.7,99.8,3196.0,2871.9,2829.3,2720.7,2904.5,85.0,82.2,81.0,77.9,81.5,36.5,36.5,29.2,29.2,0.0,93.9,93.8,91.9,91.6,6.1,6.2,8.1,8.4,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,53.0,51.0,43.4,53.0,52.7,50.7,50.6,49.2,1.349,1.088,1.387,16.198,8.988,16.267,15.594,5.473,2.350,2.396,2.323,21.844,9.774,31.619,1197.8,1197.8,25.0,No,No,No,30.0,52.9,29.0,22.0,40.0,1.360,1.272,3.376,3.376,12.197,1.096,1.208,3.456,3.264,0.936,1.080,5.088,0.296,1.848,1549,907,1137,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,0.7,0.8,1.5,1.472,0.602,65843,68944,3.1,0.0,3.1,6.153,0.000,62241,1013,34,34.0,34.0,34.0,34.0,34.0,0.906,2073,2.297,2.082,23.000,343.7,1750.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2326,425,2.5,0,60.0,109.5,41.1,33.4,32.8,32.8,59.9,60.1,59.8,59.7,59.7,59.7,16.66,24.33,9.11,3.98,30.53,30.53,2.28,13.82,16.23,0.43,0.87,1015,16,0.0,0.0,0,32.500,45.7,43.1,50.0,
7.6.2026,22:58:25.293,10866,5447,66.6,89.2,85.4,90.8,90.0,90.8,88.8,14.0,2698,19978,13743,59.2,1.0,1.312,1.344,1.350,1.337,3643.4,2914.7,3643.4,2934.7,99.8,3240.0,3046.1,2701.8,2808.6,2949.1,86.2,87.2,76.8,79.7,82.5,36.5,29.2,36.5,29.4,0.0,94.9,95.6,94.6,95.1,5.1,4.4,5.4,4.9,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,53.5,51.1,43.4,53.2,53.1,51.2,51.2,49.5,1.349,1.087,1.381,16.625,9.024,16.210,15.462,5.527,2.452,2.250,2.308,22.417,9.813,32.230,1197.7,1197.7,24.9,No,No,No,30.0,53.1,29.0,22.0,40.0,1.360,1.272,3.376,3.376,12.197,1.096,1.208,3.440,3.264,0.944,1.080,5.088,0.296,1.848,1553,918,1139,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,0.1,0.9,1.0,0.026,0.249,65843,68945,0.0,0.0,0.0,0.000,0.000,62241,1013,34,34.0,34.0,34.0,34.0,34.0,0.900,2098,2.297,2.067,21.199,335.3,1750.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2344,425,2.5,0,60.0,62.7,57.4,57.1,57.1,57.1,59.9,60.2,59.8,59.8,59.8,59.8,16.67,17.37,15.92,15.85,17.44,17.44,2.48,13.52,16.17,0.50,0.26,1015,16,0.2,0.1,0,32.542,46.6,43.9,50.1,
7.6.2026,22:58:27.298,10892,5421,66.7,100.0,100.0,100.0,99.3,100.0,99.8,0.0,2708,20019,13702,59.3,1.0,1.344,1.369,1.369,1.369,3643.4,3643.4,3643.4,3643.4,99.8,3616.7,3438.2,3286.3,3476.2,3454.3,98.4,98.4,94.2,99.2,97.6,36.5,36.5,36.5,36.5,0.0,99.8,99.5,99.4,99.8,0.2,0.5,0.6,0.2,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,54.6,52.0,43.6,54.8,55.1,53.3,53.3,50.5,1.347,1.088,1.381,18.342,9.079,18.334,16.865,5.768,2.726,2.646,2.781,24.699,9.873,34.573,1197.8,1197.8,28.2,No,No,No,30.0,54.6,29.0,22.0,40.0,1.360,1.272,3.376,3.376,12.197,1.096,1.208,3.440,3.264,0.936,1.080,5.088,0.296,1.848,1549,894,1144,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,0.5,2.7,3.2,0.386,0.353,65844,68945,0.0,0.0,0.0,0.065,0.000,62241,1013,34,34.0,34.0,34.0,34.0,34.0,0.900,2071,2.297,2.067,20.934,314.6,1750.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2354,426,2.5,0,55.1,167.8,20.4,18.9,18.7,18.7,53.2,60.1,20.0,20.0,20.0,20.0,18.13,49.00,5.97,4.73,53.53,53.53,2.56,14.31,17.58,0.56,7.05,1015,16,2.8,1.2,0,32.653,49.8,46.0,50.2,
7.6.2026,22:58:29.293,10924,5389,66.9,96.9,96.1,100.0,98.4,100.0,97.8,47.0,2678,19995,13726,59.2,1.0,1.337,1.356,1.350,1.325,3643.4,2914.7,3643.4,3643.4,99.8,3013.4,2973.9,3161.8,3274.8,3106.0,86.9,84.9,90.5,93.8,89.0,36.5,29.2,36.5,36.5,0.0,98.3,98.0,98.7,98.9,1.7,2.0,1.3,1.1,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,54.6,51.6,43.7,53.7,53.3,52.4,52.7,49.9,1.348,1.088,1.375,16.899,9.071,17.263,15.961,5.478,2.384,2.570,2.613,22.783,9.865,32.648,1197.8,1197.8,26.6,No,No,No,30.0,54.6,29.0,22.0,40.0,1.360,1.272,3.376,3.376,12.197,1.096,1.208,3.440,3.264,0.936,1.080,5.088,0.296,1.848,1558,901,1139,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,5.3,8.3,13.6,12.960,1.885,65869,68949,6.1,0.0,6.1,0.980,0.000,62243,1013,34,34.0,34.0,34.0,34.0,34.0,0.900,2075,3.445,3.101,24.164,338.6,1750.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2324,427,8.0,0,60.0,65.1,55.2,53.4,53.2,53.2,59.9,60.2,59.8,59.8,59.8,59.8,16.67,18.14,15.30,14.85,18.76,18.76,2.53,13.55,16.17,0.50,0.38,1015,16,7.3,3.8,0,32.722,47.1,46.5,50.3,
7.6.2026,22:58:31.289,10915,5398,66.9,72.8,69.6,74.4,75.2,75.2,73.0,13.0,2619,19971,13750,59.2,1.0,1.337,1.344,1.356,1.350,2934.7,3668.4,2934.7,2914.7,99.8,2614.1,2411.7,2215.1,2327.3,2392.0,69.5,69.4,63.9,67.6,67.6,29.4,36.8,29.4,29.2,0.0,78.8,78.6,75.8,75.4,21.2,21.4,24.2,24.6,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,54.1,50.0,43.6,51.7,51.6,49.8,49.3,48.1,1.350,1.085,1.369,14.192,8.878,15.065,14.476,4.317,1.896,1.803,1.897,19.141,9.631,28.772,1187.2,1187.2,23.2,No,No,No,30.0,54.1,29.0,22.0,40.0,1.376,1.272,3.376,3.376,12.144,1.096,1.208,3.440,3.248,0.936,1.080,5.088,0.296,1.848,1549,900,1139,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,0.0,5.0,5.1,0.002,4.858,65869,68958,0.0,0.0,0.0,0.072,0.000,62243,1013,35,35.0,35.0,35.0,35.0,35.0,1.087,2087,35.602,38.717,35.621,1161.9,1750.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2265,427,8.0,0,60.0,66.3,54.6,51.4,51.1,51.1,59.9,60.3,59.6,59.6,59.6,59.6,16.66,18.40,15.07,13.92,19.72,19.72,1.08,15.04,16.18,0.47,0.35,1015,16,18.0,15.0,0,32.734,42.0,45.6,50.4,
7.6.2026,22:58:33.299,10913,5400,66.8,67.4,70.5,64.3,62.0,70.5,66.1,9.0,2619,19924,13797,59.0,1.0,1.375,1.275,1.375,1.275,2934.7,3668.4,2934.7,2914.7,99.8,2551.2,2336.1,2115.2,2060.2,2265.7,63.8,66.9,60.5,58.9,62.5,29.4,36.8,29.4,29.2,0.0,77.7,78.4,74.5,76.7,22.3,21.6,25.5,23.3,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,53.4,49.9,43.4,51.5,51.2,49.5,49.4,47.8,1.349,1.085,1.394,14.234,8.847,14.102,13.956,4.432,1.797,1.694,1.741,19.183,9.602,28.785,1189.9,1189.9,21.7,No,No,No,30.0,53.5,29.0,22.0,40.0,1.360,1.272,3.376,3.376,12.144,1.096,1.208,3.440,3.248,0.936,1.080,5.088,0.296,1.848,1544,916,1141,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,0.0,0.6,0.6,0.000,2.091,65869,68962,0.0,0.0,0.0,0.046,0.000,62243,1013,36,36.0,36.0,36.0,36.0,36.0,1.087,2165,11.484,12.489,35.551,1153.5,1750.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2265,427,8.0,0,60.0,63.1,57.4,57.1,57.1,57.1,59.9,60.2,59.7,59.7,59.7,59.7,16.66,17.48,15.87,15.86,17.62,17.62,0.84,15.29,16.18,0.48,0.29,1015,16,0.7,1.2,0,32.706,42.0,44.2,50.3,
7.6.2026,22:58:35.298,10909,5404,66.8,69.8,63.6,67.4,70.5,70.5,67.8,23.0,2619,19934,13787,59.1,1.0,1.312,1.356,1.331,1.350,3668.4,2934.7,2934.7,3643.4,99.8,2748.6,2117.9,2080.2,2294.3,2310.2,65.6,60.5,59.5,65.6,62.8,36.8,29.4,29.4,36.5,0.0,82.5,79.3,77.6,82.7,17.5,20.7,22.4,17.3,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,52.9,49.9,43.3,51.4,50.9,49.5,50.1,48.0,1.348,1.086,1.363,14.538,8.893,13.665,13.873,4.717,1.699,1.682,1.854,19.565,9.656,29.221,1191.4,1191.4,21.0,No,No,No,30.0,52.9,29.0,22.0,40.0,1.360,1.272,3.376,3.376,12.144,1.096,1.208,3.440,3.248,0.936,1.080,5.088,0.296,1.848,1544,901,1145,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,0.0,0.9,0.9,0.000,3.114,65869,68968,0.9,0.0,0.9,0.020,0.000,62243,1013,36,36.0,36.0,36.0,36.0,36.0,1.087,2199,8.039,8.742,34.379,1136.1,1750.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2265,427,8.0,0,59.9,95.3,42.2,32.9,32.1,32.1,59.9,60.1,59.7,59.7,59.7,59.7,16.71,23.66,10.38,4.52,30.96,30.96,1.00,15.10,16.20,0.51,0.74,1019,16,1994.6,11.2,0,32.672,42.6,43.1,50.3,
7.6.2026,22:58:37.293,10907,5406,66.8,75.2,80.6,74.4,74.4,80.6,76.2,0.0,2619,19922,13799,59.0,1.0,1.363,1.312,1.375,1.312,2934.7,3643.4,2914.7,2914.7,99.8,2455.7,2386.1,2322.8,2410.4,2393.7,74.8,68.2,66.5,69.0,69.6,29.4,36.5,29.2,29.2,0.0,75.2,73.2,75.4,76.3,24.8,26.8,24.6,23.7,0.0,0.0,0.0,0.0,1197.8,12.00,16,16,16,39,55,313,2,52.9,49.6,43.4,50.9,50.5,49.6,49.8,47.8,1.349,1.085,1.387,13.973,8.849,14.680,14.608,4.017,1.920,1.899,1.991,18.831,9.599,28.431,1188.9,1188.9,22.6,No,No,No,30.0,52.9,29.0,22.0,40.0,1.360,1.272,3.376,3.376,12.144,1.096,1.208,3.440,3.248,0.936,1.080,5.088,0.296,1.848,1541,920,1150,No,33,87.0,No,No,18364,12908,23600,31,31,No,No,5343,9502,0.0,0.3,0.3,0.000,1.044,65869,68970,0.1,0.0,0.1,0.158,0.000,62244,1013,36,36.0,36.0,36.0,36.0,36.0,1.087,2206,11.484,12.489,37.570,1168.0,1750.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2265,427,8.0,0,60.0,62.6,58.3,58.3,58.3,58.3,59.9,60.1,59.8,59.8,59.8,59.8,16.67,17.16,16.00,15.89,17.17,17.17,1.17,14.87,16.17,0.50,0.26,1027,16,4256.6,24.2,0,32.681,41.5,43.3,50.3,
