Date,Time,"Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","GPU Utilization [%]","GPU Memory Usage [MB]","Virtual Memory Committed [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 Utility [%]","Core 1 Utility [%]","Core 2 Utility [%]","Core 3 Utility [%]","Total CPU Utility [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Package C6 Residency [%]","Core 0 C0 Residency [%]","Core 1 C0 Residency [%]","Core 2 C0 Residency [%]","Core 3 C0 Residency [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Core 0 C6 Residency [%]","Core 1 C6 Residency [%]","Core 2 C6 Residency [%]","Core 3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","CPU SOC [°C]","APU GFX [°C]","Core0 [°C]","Core1 [°C]","Core2 [°C]","Core3 [°C]","L3 Cache [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","CPU Core Current (SVI2 TFN) [A]","SoC Current (SVI2 TFN) [A]","CPU TDC [A]","CPU Package Power [W]","Core 0 Power [W]","Core 1 Power [W]","Core 2 Power [W]","Core 3 Power [W]","CPU Core Power (SVI2 TFN) [W]","CPU SoC Power (SVI2 TFN) [W]","Core+SoC Power (SVI2 TFN) [W]","Infinity Fabric Clock (FCLK) [MHz]","Memory Controller Clock (UCLK) [MHz]","CPU TDC Limit [%]","Thermal Throttling (HTC) [Yes/No]","Thermal Throttling (PROCHOT CPU) [Yes/No]","Thermal Throttling (PROCHOT EXT) [Yes/No]","Motherboard [°C]","CPU [°C]","VRM [°C]","AUXTIN2 [°C]","CPU (PECI) [°C]","Vcore [V]","VIN1 [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","VDDCR_SOC [V]","DRAM [V]","3VSB [V]","VBAT [V]","VIN5 [V]","VIN6 [V]","+5V [V]","VIN3 [V]","VIN7 [V]","CPU1 [RPM]","Chassis1 [RPM]","Chassis2 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total NAND Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Memory Temperature [°C]","GPU VR VDDC Temperature [°C]","GPU VR MVDD Temperature [°C]","GPU Liquid Temperature [°C]","GPU PLX Temperature [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan (ODN) [RPM]","GPU Core Current (VDDCR_GFX) [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Video Encode 1 Usage [%]","GPU Video Encode 2 Usage [%]","GPU Video Encode 3 Usage [%]","GPU Video Encode 4 Usage [%]","GPU Computing (High Priority Compute) Usage [%]","GPU Computing (Compute 3) Usage [%]","GPU Computing (Compute 0) Usage [%]","GPU Computing (Compute 1) Usage [%]","GPU Fan PWM [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Errors []","Framerate Presented (avg) [FPS]","Framerate Presented (99%) [FPS]","Framerate Presented (1%) [FPS]","Framerate Presented (0.1%) [FPS]","Framerate Presented (1% low) [FPS]","Framerate Presented (0.1% low) [FPS]","Framerate Displayed (avg) [FPS]","Framerate Displayed (99%) [FPS]","Framerate Displayed (1%) [FPS]","Framerate Displayed (0.1%) [FPS]","Framerate Displayed (1% low) [FPS]","Framerate Displayed (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.2.2026,20:44:47.093,5828,2296,71.7,72.1,65.1,68.2,82.9,82.9,72.1,0.0,1263,8854,15142,36.8,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3069.5,2650.2,2682.8,3117.9,2880.1,65.2,65.9,66.9,77.5,68.9,40.0,40.0,40.0,40.0,0.0,76.7,75.2,77.4,84.3,23.3,24.8,21.8,15.7,0.0,0.0,0.8,0.0,1197.8,12.00,16,17,18,38,66,560,1,45.2,42.3,35.7,44.3,44.1,42.7,43.1,41.1,1.374,1.088,1.400,16.216,8.197,16.133,15.070,4.876,2.176,2.228,2.495,22.260,8.914,31.174,1197.8,1197.8,24.8,No,No,No,24.0,45.1,29.0,22.0,40.0,1.376,1.272,3.376,3.376,12.197,1.096,1.208,3.456,3.248,0.936,1.080,5.088,0.256,1.848,1644,930,1201,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,100.0,58.2,100.0,5.606,3.214,178673,53965,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1830,2.297,2.067,20.383,300.0,1750.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,790,88,2.5,0,15.8,69.2,2.2,2.0,1.9,1.9,15.8,60.1,2.1,2.0,1.9,1.9,63.25,464.63,14.41,14.20,515.95,515.95,0.12,37.07,63.10,0.15,84.04,15,1,8.9,7.8,0,
13.2.2026,20:44:49.097,5852,2272,72.0,57.8,64.1,59.4,71.9,71.9,63.3,0.0,1263,8872,15124,36.9,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,2638.7,2384.6,2311.0,2797.9,2533.1,56.5,58.9,57.1,69.6,60.5,40.0,40.0,40.0,40.0,0.0,66.0,66.0,65.8,76.3,15.6,14.7,17.9,23.7,18.4,19.2,16.3,0.0,1197.8,12.00,16,17,18,38,66,560,1,45.6,41.3,35.7,42.9,43.1,41.8,42.5,40.0,1.377,1.088,1.400,14.626,7.896,15.009,13.901,3.406,1.578,1.589,2.183,20.121,8.587,28.709,1197.8,1197.8,23.1,No,No,No,24.0,45.4,29.0,22.0,40.0,1.392,1.272,3.376,3.376,12.144,1.096,1.208,3.456,3.248,0.936,1.080,5.088,0.256,1.848,1648,932,1186,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,100.0,0.8,100.0,4.210,0.145,178681,53965,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1825,2.297,2.067,19.719,300.0,1750.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,790,88,2.5,0,4.0,60.5,1.2,1.2,1.2,1.2,4.0,60.1,1.2,1.2,1.2,1.2,250.26,844.60,16.55,16.54,867.62,867.62,0.19,220.78,250.13,0.12,308.94,15,1,0.1,0.0,0,
13.2.2026,20:44:51.099,5859,2265,72.1,98.4,100.0,98.4,99.2,100.0,99.0,0.0,1263,8873,15122,36.9,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3970.9,3721.7,3647.9,3808.9,3787.4,89.9,92.7,90.9,94.9,92.1,40.0,40.0,40.0,40.0,0.0,99.3,99.3,99.3,99.2,0.7,0.7,0.7,0.8,0.0,0.0,0.0,0.0,1197.8,12.00,16,17,18,38,66,560,1,47.1,43.0,35.9,47.4,47.3,45.4,45.2,41.5,1.368,1.088,1.400,17.889,7.905,16.791,15.859,5.252,2.401,2.375,2.523,24.476,8.597,33.073,1197.8,1197.8,25.8,No,No,No,24.0,47.9,29.0,22.0,40.0,1.392,1.272,3.376,3.376,12.197,1.104,1.208,3.456,3.248,0.944,1.080,5.088,0.256,1.848,1636,907,1202,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,97.2,3.2,100.0,3.048,0.739,178687,53966,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1842,2.297,2.067,19.719,300.0,1750.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,790,88,2.5,0,3.0,54.9,1.2,1.2,1.2,1.2,3.0,54.6,1.2,1.2,1.2,1.2,328.30,852.36,18.23,16.71,867.70,867.70,0.10,0.00,328.17,0.14,333.56,15,1,72.2,5.4,0,
13.2.2026,20:44:53.094,5857,2267,72.0,100.0,98.4,100.0,99.2,100.0,99.4,0.0,1263,8870,15126,36.9,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3976.1,3727.0,3656.3,3810.7,3792.5,89.9,92.8,91.1,94.9,92.2,40.0,40.0,40.0,40.0,0.0,99.4,99.4,99.5,99.2,0.6,0.6,0.5,0.8,0.0,0.0,0.0,0.0,1197.8,12.00,16,17,18,38,66,560,1,47.5,43.1,36.0,47.6,47.5,45.6,45.5,41.7,1.368,1.088,1.400,17.910,7.893,17.761,15.850,5.255,2.412,2.387,2.486,24.507,8.583,33.090,1197.8,1197.8,27.3,No,No,No,24.0,47.5,29.0,22.0,40.0,1.376,1.272,3.376,3.376,12.197,1.096,1.208,3.456,3.248,0.936,1.080,5.088,0.256,1.848,1650,922,1190,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,98.7,6.9,100.0,4.906,0.783,178696,53968,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1826,2.297,2.067,19.719,300.0,1750.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,790,88,2.5,0,2.3,40.0,1.2,1.2,1.2,1.2,2.3,39.7,1.2,1.2,1.2,1.2,442.06,859.10,25.02,17.36,867.61,867.61,0.10,0.00,441.95,0.12,492.20,15,1,0.0,0.0,0,
13.2.2026,20:44:57.093,5843,2281,71.9,97.7,99.2,99.2,98.4,99.2,98.6,0.0,1271,8849,15147,36.8,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3972.9,3708.4,3626.2,3791.8,3774.8,89.4,92.4,90.3,94.5,91.6,40.0,40.0,40.0,40.0,0.0,99.3,99.3,99.3,99.2,0.7,0.7,0.7,0.8,0.0,0.0,0.0,0.0,1197.8,12.00,16,17,18,38,66,560,1,47.8,43.6,36.3,47.7,47.6,45.7,45.5,42.2,1.369,1.088,1.400,17.949,8.081,17.933,16.010,5.432,2.471,2.457,2.574,24.563,8.788,33.351,1197.8,1197.8,27.6,No,No,No,24.0,47.6,29.0,22.0,40.0,1.376,1.272,3.376,3.376,12.144,1.104,1.208,3.456,3.248,0.936,1.080,5.088,0.256,1.848,1642,915,1204,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,100.0,21.1,100.0,3.649,3.920,178714,53977,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1832,2.297,2.067,19.719,300.0,1750.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,797,88,2.5,0,23.7,60.6,8.9,8.6,8.5,8.5,23.7,60.0,8.9,8.6,8.6,8.6,42.26,112.58,16.52,16.51,117.35,117.35,0.10,0.00,42.14,0.12,20.09,15,1,1.4,4.3,0,
13.2.2026,20:44:59.094,5837,2287,71.8,96.1,98.4,98.4,99.2,99.2,98.1,0.0,1271,8847,15149,36.8,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3964.8,3725.0,3645.8,3812.6,3787.0,90.0,92.8,90.8,95.0,92.2,40.0,40.0,40.0,40.0,0.0,99.1,99.1,98.9,99.0,0.9,0.9,1.1,1.0,0.0,0.0,0.0,0.0,1197.8,12.00,16,17,18,38,66,560,1,47.8,43.5,36.4,48.0,48.0,46.1,45.9,42.0,1.368,1.088,1.400,17.857,7.876,17.863,15.815,5.222,2.398,2.348,2.481,24.432,8.565,32.996,1197.8,1197.8,27.5,No,No,No,24.0,47.8,29.0,22.0,40.0,1.392,1.272,3.376,3.376,12.197,1.096,1.208,3.456,3.248,0.944,1.080,5.088,0.256,1.848,1648,925,1190,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,97.3,7.1,100.0,2.917,0.384,178719,53978,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1842,2.297,2.067,19.719,300.0,1750.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,797,88,2.5,0,1.2,29.8,0.6,0.6,0.6,0.6,1.2,29.7,0.6,0.6,0.6,0.6,867.39,1701.23,33.54,18.22,1718.25,1718.25,0.11,858.96,867.26,0.12,1684.79,15,1,0.1,0.1,0,
13.2.2026,20:45:1.100,5834,2290,71.8,98.4,99.2,99.2,98.4,99.2,98.8,0.0,1271,8849,15147,36.8,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3973.8,3734.4,3661.5,3822.1,3797.9,90.3,93.1,91.2,95.2,92.4,40.0,40.0,40.0,40.0,0.0,99.3,99.4,99.2,99.1,0.7,0.6,0.8,0.9,0.0,0.0,0.0,0.0,1197.8,12.00,16,17,18,38,66,560,1,48.0,43.6,36.5,48.1,48.0,46.2,46.1,42.1,1.368,1.088,1.400,17.812,7.894,17.838,15.784,5.216,2.381,2.367,2.475,24.370,8.585,32.954,1197.8,1197.8,27.4,No,No,No,24.0,48.0,29.0,22.0,40.0,1.376,1.272,3.376,3.376,12.197,1.104,1.208,3.456,3.248,0.944,1.080,5.088,0.256,1.848,1636,916,1202,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,97.9,4.9,100.0,4.403,0.222,178728,53978,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1820,2.297,2.067,19.719,300.0,1750.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,797,88,2.5,0,1.1,28.4,0.5,0.5,0.5,0.5,1.1,28.3,0.5,0.5,0.5,0.5,950.88,1866.58,35.18,18.36,1885.27,1885.27,0.10,0.00,950.76,0.12,1826.78,15,1,0.0,0.0,0,
13.2.2026,20:45:3.093,5829,2295,71.7,97.7,99.2,99.2,98.4,99.2,98.6,0.0,1271,8844,15151,36.8,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3969.1,3719.9,3653.6,3821.8,3791.1,90.0,92.7,91.0,95.2,92.2,40.0,40.0,40.0,40.0,0.0,99.2,99.2,99.3,99.4,0.8,0.8,0.7,0.6,0.0,0.0,0.0,0.0,1197.8,12.00,16,17,18,38,66,560,1,48.2,43.7,36.6,48.3,48.1,46.2,46.1,42.2,1.368,1.088,1.400,17.885,7.947,17.851,15.873,5.230,2.407,2.362,2.515,24.471,8.643,33.113,1197.8,1197.8,27.5,No,No,No,24.0,48.2,29.0,22.0,40.0,1.376,1.272,3.376,3.376,12.197,1.096,1.208,3.456,3.248,0.936,1.080,5.088,0.256,1.848,1636,916,1194,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,95.5,13.6,100.0,3.244,0.922,178734,53980,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1837,2.297,2.067,19.719,300.0,1750.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,797,88,2.5,0,3.7,46.7,2.0,1.9,1.9,1.9,3.7,46.1,2.0,1.9,1.9,1.9,267.01,512.60,21.41,16.90,517.62,517.62,0.14,258.73,266.89,0.11,500.83,15,1,0.1,0.0,0,
13.2.2026,20:45:5.093,5828,2296,71.7,100.0,99.2,98.4,100.0,100.0,99.4,0.0,1271,8844,15152,36.8,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3979.3,3728.7,3651.1,3815.1,3793.5,90.5,92.9,91.0,95.1,92.3,40.0,40.0,40.0,40.0,0.0,99.5,99.2,99.0,99.0,0.5,0.8,1.0,1.0,0.0,0.0,0.0,0.0,1197.8,12.00,16,17,18,38,66,560,1,48.2,43.8,36.7,48.4,48.3,46.4,46.2,42.3,1.368,1.088,1.400,17.831,7.936,17.846,15.819,5.212,2.374,2.370,2.463,24.398,8.630,33.028,1197.8,1197.8,27.5,No,No,No,24.0,48.2,29.0,22.0,40.0,1.392,1.272,3.376,3.376,12.197,1.104,1.208,3.456,3.248,0.936,1.080,5.088,0.256,1.848,1642,908,1198,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,100.0,35.1,100.0,3.446,1.454,178740,53983,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1828,2.297,2.067,19.719,300.0,1750.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,797,88,2.5,0,14.3,61.0,0.8,0.6,0.5,0.5,14.3,60.0,0.8,0.6,0.5,0.5,70.06,1244.67,16.40,16.37,1868.73,1868.73,0.14,14.65,69.94,0.13,104.43,15,1,0.3,0.1,0,
13.2.2026,20:45:7.100,5837,2287,71.8,97.7,98.4,99.2,100.0,100.0,98.8,0.0,1271,8845,15151,36.8,1.3,0.744,1.375,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3982.6,3733.1,3659.4,3815.6,3797.7,90.4,93.0,91.1,95.1,92.4,40.0,40.0,40.0,40.0,0.0,99.6,99.4,99.3,99.2,0.4,0.6,0.7,0.8,0.0,0.0,0.0,0.0,1197.8,12.00,16,17,18,38,66,560,1,48.5,44.0,36.8,48.5,48.4,46.5,46.3,42.5,1.369,1.088,1.400,17.837,7.945,17.849,15.834,5.263,2.391,2.374,2.500,24.411,8.640,33.052,1197.8,1197.8,27.5,No,No,No,24.0,48.5,29.0,22.0,40.0,1.376,1.272,3.376,3.376,12.144,1.096,1.208,3.456,3.248,0.944,1.080,5.088,0.256,1.848,1638,908,1186,No,28,87.0,No,No,17437,12258,22110,20,20,No,No,4684,8259,94.3,8.9,100.0,3.037,0.655,178746,53984,0.0,0.0,0.0,0.000,0.000,7,2,29,29.0,29.0,29.0,29.0,29.0,0.900,1830,2.297,2.067,19.719,300.0,1750.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,797,88,2.5,0,3.5,56.6,1.3,1.3,1.3,1.3,3.5,55.5,1.3,1.3,1.3,1.3,289.24,754.13,17.68,16.47,767.82,767.82,0.13,255.88,289.12,0.11,522.99,15,1,0.2,0.1,0,
