Date,Time,"Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","GPU Utilization [%]","GPU Memory Usage [MB]","Virtual Memory Committed [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 Utility [%]","Core 1 Utility [%]","Core 2 Utility [%]","Core 3 Utility [%]","Total CPU Utility [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Package C6 Residency [%]","Core 0 C0 Residency [%]","Core 1 C0 Residency [%]","Core 2 C0 Residency [%]","Core 3 C0 Residency [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Core 0 C6 Residency [%]","Core 1 C6 Residency [%]","Core 2 C6 Residency [%]","Core 3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","CPU SOC [°C]","APU GFX [°C]","Core0 [°C]","Core1 [°C]","Core2 [°C]","Core3 [°C]","L3 Cache [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","CPU Core Current (SVI2 TFN) [A]","SoC Current (SVI2 TFN) [A]","CPU TDC [A]","CPU Package Power [W]","Core 0 Power [W]","Core 1 Power [W]","Core 2 Power [W]","Core 3 Power [W]","CPU Core Power (SVI2 TFN) [W]","CPU SoC Power (SVI2 TFN) [W]","Core+SoC Power (SVI2 TFN) [W]","Infinity Fabric Clock (FCLK) [MHz]","Memory Controller Clock (UCLK) [MHz]","CPU TDC Limit [%]","Thermal Throttling (HTC) [Yes/No]","Thermal Throttling (PROCHOT CPU) [Yes/No]","Thermal Throttling (PROCHOT EXT) [Yes/No]","Motherboard [°C]","CPU [°C]","VRM [°C]","AUXTIN2 [°C]","CPU (PECI) [°C]","Vcore [V]","VIN1 [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","VDDCR_SOC [V]","DRAM [V]","3VSB [V]","VBAT [V]","VIN5 [V]","VIN6 [V]","+5V [V]","VIN3 [V]","VIN7 [V]","CPU1 [RPM]","Chassis1 [RPM]","Chassis2 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total NAND Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Memory Temperature [°C]","GPU VR VDDC Temperature [°C]","GPU VR MVDD Temperature [°C]","GPU Liquid Temperature [°C]","GPU PLX Temperature [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan (ODN) [RPM]","GPU Core Current (VDDCR_GFX) [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Video Encode 1 Usage [%]","GPU Video Encode 2 Usage [%]","GPU Video Encode 3 Usage [%]","GPU Video Encode 4 Usage [%]","GPU Computing (High Priority Compute) Usage [%]","GPU Computing (Compute 3) Usage [%]","GPU Computing (Compute 0) Usage [%]","GPU Computing (Compute 1) Usage [%]","GPU Fan PWM [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Errors []","Framerate Presented (avg) [FPS]","Framerate Presented (99%) [FPS]","Framerate Presented (1%) [FPS]","Framerate Presented (0.1%) [FPS]","Framerate Presented (1% low) [FPS]","Framerate Presented (0.1% low) [FPS]","Framerate Displayed (avg) [FPS]","Framerate Displayed (99%) [FPS]","Framerate Displayed (1%) [FPS]","Framerate Displayed (0.1%) [FPS]","Framerate Displayed (1% low) [FPS]","Framerate Displayed (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
14.2.2026,20:58:5.827,5382,2742,66.2,71.1,62.5,61.7,56.2,71.1,62.9,100.0,3266,12468,11528,51.9,6.4,0.744,1.381,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,2838.6,2409.1,2371.9,2161.2,2445.2,59.6,59.9,58.9,53.3,57.9,40.0,40.0,40.0,40.0,0.0,71.0,69.0,69.9,60.1,29.0,30.3,29.5,11.9,0.0,0.7,0.6,28.0,1197.8,12.00,16,17,18,38,66,560,1,51.0,47.7,40.8,49.1,48.5,47.4,46.2,45.8,1.376,1.088,1.400,15.001,8.944,15.208,14.876,4.542,1.982,2.078,1.527,20.624,9.726,30.350,1197.8,1197.8,23.4,No,No,No,29.0,51.1,29.0,22.0,40.0,1.392,1.272,3.360,3.360,12.091,1.096,1.208,3.456,3.264,0.936,1.080,5.088,0.288,1.848,1677,932,1188,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,1.6,15.9,17.5,0.006,2.769,200276,93851,0.0,0.0,0.0,0.000,0.000,7718,125591,48,48.0,48.0,48.0,48.0,48.0,1.137,2583,94.172,107.121,107.488,1165.5,1750.0,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2655,96,8.0,0,70.2,81.1,64.5,63.3,63.2,63.2,0.0,0.0,0.0,0.0,0.0,0.0,14.25,15.54,12.30,11.26,15.83,15.83,0.00,0.00,14.15,0.10,0.00,87082,601,0.0,0.0,0,
14.2.2026,20:58:7.838,5376,2748,66.1,64.3,57.4,53.5,32.6,64.3,51.9,100.0,3269,12462,11534,51.9,6.4,0.744,1.381,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,2685.5,2133.4,2270.1,1787.4,2219.1,55.9,52.7,56.2,43.7,52.1,40.0,40.0,40.0,40.0,0.0,67.1,61.2,66.9,50.4,32.9,21.3,28.5,12.1,0.0,17.5,4.5,37.5,1197.8,12.00,16,17,18,38,66,560,1,50.6,47.2,40.6,48.4,46.8,46.8,44.6,45.2,1.378,1.088,1.400,13.987,8.904,13.965,14.198,4.344,1.538,1.914,1.089,19.267,9.683,28.950,1197.8,1197.8,21.5,No,No,No,29.0,50.6,29.0,22.0,40.0,1.376,1.272,3.360,3.360,12.091,1.096,1.208,3.456,3.264,0.936,1.080,5.088,0.288,1.848,1666,948,1183,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,31.5,15.4,46.9,0.430,0.299,200276,93851,0.0,0.0,0.0,0.000,0.000,7718,125591,48,48.0,48.0,48.0,48.0,48.0,1.087,2605,52.828,57.451,109.129,1182.5,1750.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2657,96,8.0,0,67.9,88.7,37.8,33.9,33.5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,14.72,26.50,11.24,11.22,29.83,29.83,0.00,0.00,14.61,0.11,0.00,87082,601,0.0,0.0,0,
14.2.2026,20:58:9.829,5382,2742,66.2,68.0,65.6,71.1,64.8,71.1,67.4,97.0,3276,12521,11475,52.1,6.4,0.744,1.381,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3050.0,2595.1,2544.5,2448.3,2659.5,64.7,64.4,63.2,60.6,63.2,40.0,40.0,40.0,40.0,0.0,76.2,73.2,74.7,68.1,23.8,19.8,25.3,18.1,0.0,7.1,0.0,13.9,1197.8,12.00,16,17,18,38,66,560,1,50.5,47.7,40.7,49.0,48.2,47.2,46.3,46.0,1.375,1.088,1.400,15.394,8.965,14.648,15.097,4.895,2.044,2.216,1.875,21.154,9.749,30.903,1197.8,1197.8,22.5,No,No,No,29.0,50.5,29.0,22.0,40.0,1.392,1.272,3.376,3.376,12.144,1.104,1.208,3.456,3.264,0.936,1.080,5.088,0.288,1.848,1677,941,1185,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,35.1,10.5,45.6,1.856,0.269,200280,93852,12.4,0.0,12.4,0.670,0.000,7719,125591,47,47.0,47.0,47.0,47.0,47.0,1.169,2612,75.797,88.588,81.211,1430.3,1750.0,83.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2664,100,8.0,0,45.8,93.6,8.3,7.2,7.1,7.1,30.9,60.0,6.5,6.0,6.0,6.0,21.83,136.32,8.28,7.42,179.15,179.15,436.77,25.80,19.69,2.14,28.09,87082,601,7.8,2.6,0,
14.2.2026,20:58:11.828,5453,2671,67.1,65.9,67.4,71.3,68.2,71.3,68.2,100.0,3291,12603,11393,52.5,6.4,0.744,1.381,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,3025.1,2689.9,2555.7,2695.9,2741.6,63.4,66.7,63.3,66.9,65.1,40.0,40.0,40.0,40.0,0.0,75.6,76.6,75.3,75.4,18.8,20.9,20.8,18.6,5.6,2.6,3.9,6.0,1197.8,12.00,16,17,18,38,66,560,1,50.4,47.8,40.7,48.8,48.8,47.3,47.2,46.3,1.374,1.088,1.400,15.524,8.962,15.447,15.214,4.678,2.151,2.117,2.172,21.314,9.746,31.059,1197.8,1197.8,23.8,No,No,No,29.0,50.2,29.0,22.0,40.0,1.376,1.272,3.360,3.360,12.091,1.096,1.208,3.456,3.264,0.936,1.080,5.088,0.288,1.848,1681,937,1172,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,100.0,11.6,100.0,44.742,1.497,200366,93855,29.9,0.1,30.0,6.163,0.014,7731,125591,49,49.0,49.0,49.0,49.0,49.0,1.075,2644,71.203,76.543,107.848,1228.4,1750.0,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2679,100,8.0,0,58.8,84.4,32.6,25.8,25.2,25.2,58.9,60.1,41.0,30.8,30.0,30.0,16.99,29.41,12.39,12.27,37.35,37.35,14.37,2.10,15.35,1.64,0.60,87082,601,17.9,0.7,0,
14.2.2026,20:58:13.834,5391,2733,66.3,60.2,61.7,67.2,61.7,67.2,62.7,100.0,3291,12520,11476,52.1,6.4,0.744,1.381,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,2822.5,2369.8,2527.3,2420.4,2535.0,59.9,58.9,62.8,60.0,60.4,40.0,40.0,40.0,40.0,0.0,70.6,67.4,73.1,67.4,29.4,32.0,26.9,25.2,0.0,0.6,0.0,7.4,1197.8,12.00,16,17,18,38,66,560,1,50.9,47.8,40.8,49.4,48.9,48.1,47.5,46.1,1.375,1.088,1.400,15.595,8.816,15.917,15.141,4.702,2.035,2.253,2.040,21.417,9.588,31.005,1197.8,1197.8,24.5,No,No,No,29.0,50.9,29.0,22.0,40.0,1.376,1.272,3.376,3.360,12.091,1.096,1.208,3.456,3.264,0.936,1.080,5.088,0.288,1.848,1677,918,1171,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,65.4,20.5,86.0,4.822,0.285,200375,93855,0.1,0.0,0.1,0.131,0.000,7732,125591,49,49.0,49.0,49.0,49.0,49.0,1.119,2627,122.883,137.475,110.191,1273.6,1750.0,88.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2679,100,8.0,0,60.0,64.5,55.9,55.1,55.0,55.0,59.9,60.1,59.8,59.8,59.8,59.8,16.68,17.12,16.25,16.18,17.14,17.14,14.30,2.38,14.21,2.47,0.15,87082,601,29.0,0.9,0,
14.2.2026,20:58:15.843,5386,2738,66.2,46.9,47.7,53.1,50.8,53.1,49.6,100.0,3311,12538,11458,52.2,6.4,0.744,1.381,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,2314.5,1968.7,2075.7,1763.0,2030.5,47.4,48.5,51.5,43.0,47.6,40.0,40.0,40.0,40.0,0.0,57.9,57.3,62.5,48.9,32.2,25.6,37.5,7.9,9.9,17.1,0.0,43.2,1197.8,12.00,16,17,18,38,66,560,1,50.1,46.6,40.6,47.1,46.6,46.2,44.5,44.8,1.380,1.088,1.400,13.156,8.785,14.003,13.625,3.392,1.488,1.886,0.973,18.129,9.554,27.683,1197.8,1197.8,21.5,No,No,No,29.0,50.1,29.0,22.0,40.0,1.376,1.272,3.360,3.376,12.091,1.096,1.208,3.440,3.264,0.936,1.080,5.088,0.288,1.848,1677,917,1180,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,0.8,6.6,7.5,0.055,0.065,200375,93855,15.9,0.1,16.0,2.553,0.012,7736,125591,50,50.0,50.0,50.0,50.0,50.0,1.087,2644,68.906,74.936,106.215,1230.2,1750.0,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2698,100,8.0,0,60.0,65.7,54.0,53.3,53.2,53.2,59.9,60.1,59.8,59.8,59.8,59.8,16.65,16.99,15.61,14.92,17.07,17.07,14.20,2.48,14.38,2.26,0.16,87082,601,0.1,0.0,0,
14.2.2026,20:58:17.842,5395,2729,66.4,58.1,43.4,57.4,45.7,58.1,51.2,100.0,3314,12541,11455,52.2,6.4,0.744,1.381,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,2390.1,1903.6,2250.2,1951.9,2124.0,49.0,46.7,55.9,48.2,50.0,40.0,40.0,40.0,40.0,0.0,59.8,55.2,66.8,55.9,31.3,23.8,33.2,25.5,8.9,21.0,0.0,18.5,1197.8,12.00,16,17,18,38,66,560,1,49.9,46.8,40.6,47.3,46.5,46.6,45.1,45.0,1.379,1.088,1.400,13.785,8.890,13.674,14.084,3.542,1.333,2.038,1.479,18.990,9.668,28.658,1197.8,1197.8,21.0,No,No,No,29.0,49.9,29.0,22.0,40.0,1.376,1.272,3.376,3.360,12.091,1.096,1.208,3.440,3.248,0.936,1.080,5.088,0.288,1.848,1679,920,1174,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,0.7,1.3,2.1,0.002,0.082,200375,93856,13.9,0.1,14.0,2.378,0.012,7741,125591,50,50.0,50.0,50.0,50.0,50.0,1.087,2661,80.391,87.425,109.387,1223.2,1750.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2702,100,8.0,0,59.7,90.2,40.1,32.8,32.2,32.2,59.9,60.1,59.8,59.8,59.8,59.8,16.70,24.75,11.07,9.11,31.13,31.13,14.68,2.00,16.20,0.50,0.97,87082,601,0.1,0.0,0,
14.2.2026,20:58:19.841,5395,2729,66.4,50.4,50.4,48.8,49.6,50.4,49.8,100.0,3314,12541,11455,52.2,6.4,0.744,1.381,0.744,0.744,3992.8,3992.8,3992.8,3992.8,99.8,2418.1,1887.5,2083.7,1943.9,2083.3,50.2,46.2,51.5,47.9,48.9,40.0,40.0,40.0,40.0,0.0,60.5,54.4,62.1,54.5,34.3,21.0,32.2,18.4,5.2,24.7,5.7,27.1,1197.8,12.00,16,17,18,38,66,560,1,49.8,46.7,40.5,47.5,46.2,46.2,44.9,44.7,1.379,1.088,1.400,13.592,8.816,13.542,13.897,4.023,1.329,1.803,1.384,18.728,9.587,28.315,1197.8,1197.8,20.8,No,No,No,29.0,49.9,29.0,22.0,40.0,1.392,1.272,3.360,3.360,12.091,1.096,1.208,3.440,3.248,0.936,1.080,5.088,0.288,1.848,1681,921,1179,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,2.8,4.3,7.0,0.238,0.119,200375,93856,1.6,0.0,1.6,0.016,0.000,7741,125591,50,50.0,50.0,50.0,50.0,50.0,1.087,2675,78.094,84.927,108.727,1244.0,1750.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2702,100,8.0,0,59.8,86.7,38.6,37.0,36.8,36.8,59.9,60.1,59.8,59.8,59.8,59.8,16.71,25.32,11.52,11.33,27.18,27.18,15.02,1.48,16.44,0.27,1.30,87082,601,0.1,0.0,0,
14.2.2026,20:58:21.842,5394,2730,66.3,42.2,39.8,41.4,37.5,42.2,40.2,72.0,3324,12549,11447,52.2,6.4,0.744,1.400,1.400,0.744,3992.8,3992.8,3992.8,3992.8,99.8,1890.8,1657.7,1717.5,1593.8,1714.9,38.2,40.5,41.9,39.1,39.9,40.0,40.0,40.0,40.0,0.0,47.3,47.7,51.6,45.3,18.6,18.7,21.7,18.4,34.1,33.6,26.7,36.3,1197.8,12.00,16,17,18,38,66,560,1,48.9,45.5,40.3,45.3,45.0,44.6,43.6,43.7,1.382,1.088,1.400,11.743,8.628,12.562,12.657,2.352,1.136,1.312,1.082,16.206,9.383,25.589,1197.8,1197.8,19.3,No,No,No,29.0,48.9,29.0,22.0,40.0,1.392,1.272,3.360,3.360,12.091,1.096,1.208,3.440,3.248,0.936,1.080,5.088,0.288,1.848,1677,919,1183,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,7.6,13.1,20.7,0.204,0.149,200376,93856,0.8,0.0,0.8,0.008,0.000,7741,125591,50,50.0,50.0,50.0,50.0,50.0,1.137,2661,12.633,14.370,110.801,1212.1,1750.0,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2711,100,8.0,0,57.9,98.6,35.6,35.2,35.1,35.1,57.8,60.2,30.0,29.9,29.9,29.9,17.28,28.08,10.13,8.52,28.44,28.44,15.36,1.32,17.06,0.23,2.63,87082,601,0.0,0.0,0,
14.2.2026,20:58:23.842,5395,2728,66.4,55.0,38.8,48.1,50.0,55.0,48.0,100.0,3324,12547,11449,52.2,6.4,0.744,1.400,1.400,0.744,3992.8,3992.8,3992.8,3992.8,99.8,2334.0,1616.5,1949.5,1762.6,1915.6,49.3,39.7,48.2,43.2,45.1,40.0,40.0,40.0,40.0,0.0,58.4,45.7,58.5,48.9,31.7,6.8,35.6,10.8,10.0,47.5,5.9,40.3,1197.8,12.00,16,17,18,38,66,560,1,48.9,46.3,40.3,47.2,44.9,45.8,44.1,44.1,1.381,1.088,1.400,12.750,8.746,12.521,13.352,3.728,0.990,1.723,1.125,17.586,9.512,27.098,1197.8,1197.8,19.3,No,No,No,29.0,48.9,29.0,22.0,40.0,1.392,1.272,3.376,3.360,12.144,1.096,1.208,3.440,3.248,0.936,1.080,5.088,0.288,1.848,1685,920,1172,No,38,87.0,No,No,17477,12292,22141,34,34,No,No,4807,8267,0.5,0.8,1.3,0.002,0.116,200376,93856,0.0,0.0,0.0,0.000,0.000,7741,125591,51,51.0,51.0,51.0,51.0,51.0,1.081,2682,25.266,27.318,108.922,1207.0,1750.0,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2711,100,8.0,0,60.0,69.0,53.5,53.5,53.5,53.5,59.9,60.1,59.8,59.8,59.8,59.8,16.68,18.39,14.70,14.03,18.81,18.81,15.01,1.67,16.34,0.34,0.59,87082,601,0.0,0.0,0,
